iteration, population, weights, segregation
3, 16, [0.51, 0.49, 0.28, 0.32], 0.9234141980999576
3, 17, [0.51, 0.49, 0.28, 0.31], 1.3117970103449061
3, 18, [0.51, 0.49, 0.3, 0.32], 1.0494313253487153
3, 19, [0.51, 0.49, 0.29, 0.32], 0.9539357710482009
3, 20, [0.51, 0.51, 0.28, 0.3], 1.1547206071160578
3, 21, [0.51, 0.51, 0.28, 0.32], 1.1317208835858483
3, 22, [0.51, 0.51, 0.28, 0.31], 1.0809778885883605
3, 23, [0.51, 0.51, 0.3, 0.32], 0.9901455094326993
3, 24, [0.51, 0.51, 0.29, 0.32], 1.0294178245498709
3, 25, [0.51, 0.5, 0.28, 0.3], 1.5140448140828995
3, 26, [0.51, 0.5, 0.28, 0.32], 1.1781864279998502
3, 27, [0.51, 0.5, 0.28, 0.31], 0.9542120228024893
3, 28, [0.51, 0.5, 0.3, 0.32], 1.0322600144103726
3, 29, [0.51, 0.5, 0.29, 0.32], 0.9943402851999946
3, 30, [0.5, 0.49, 0.28, 0.3], 1.0181207825246492
3, 31, [0.5, 0.49, 0.28, 0.32], 1.250948833367694
3, 32, [0.5, 0.49, 0.28, 0.31], 1.3908526285936285
3, 33, [0.5, 0.49, 0.3, 0.32], 1.0339705577265816
3, 34, [0.5, 0.49, 0.29, 0.32], 1.0227849885966405
3, 35, [0.5, 0.51, 0.28, 0.3], 1.0149327771164918
3, 36, [0.5, 0.51, 0.28, 0.32], 1.2094663937790393
3, 37, [0.5, 0.51, 0.28, 0.31], 0.9945383382866195
3, 38, [0.5, 0.51, 0.3, 0.32], 0.9855892860797282
3, 39, [0.5, 0.51, 0.29, 0.32], 1.0235249889009073
3, 40, [0.5, 0.5, 0.28, 0.3], 0.9963733369141109
3, 41, [0.5, 0.5, 0.28, 0.32], 1.21715824763471
3, 42, [0.5, 0.5, 0.28, 0.31], 0.9661426954224124
3, 43, [0.5, 0.5, 0.3, 0.32], 0.9189718245112026
3, 44, [0.5, 0.5, 0.29, 0.32], 1.0979852417707323
3, 45, [0.5, 0.48, 0.28, 0.29], 0.8103734810234656
3, 46, [0.5, 0.48, 0.28, 0.31], 0.9805718626581131
3, 47, [0.5, 0.48, 0.28, 0.3], 0.9824018561782492
3, 48, [0.5, 0.48, 0.3, 0.29], 0.7940370230952497
3, 49, [0.5, 0.48, 0.3, 0.31], 1.116632148103173
3, 50, [0.5, 0.48, 0.3, 0.3], 1.146933416671957
3, 51, [0.5, 0.48, 0.29, 0.29], 1.1434457179989603
3, 52, [0.5, 0.48, 0.29, 0.31], 1.0702410967128453
3, 53, [0.5, 0.48, 0.29, 0.3], 1.267242770626404
3, 54, [0.5, 0.5, 0.28, 0.29], 0.9557063860317904
3, 55, [0.5, 0.5, 0.28, 0.31], 0.9661426954224124
3, 56, [0.5, 0.5, 0.28, 0.3], 0.9963733369141109
3, 57, [0.5, 0.49, 0.28, 0.29], 1.0397762691654084
3, 58, [0.5, 0.49, 0.28, 0.31], 1.3908526285936285
