iteration,population,w0,w1,w2,w3,segregation
3, 125,  0.79, 0.79, 0.08, 0.5 , 0.7962880468543255
3, 126,  0.79, 0.79, 0.08, 0.52 , 0.8367755709119036
3, 127,  0.79, 0.79, 0.08, 0.51 , 0.847206036236497
3, 128,  0.79, 0.79, 0.1, 0.52 , 1.5372069026567199
3, 129,  0.79, 0.79, 0.09, 0.52 , 1.2754054976950997
3, 130,  0.78, 0.78, 0.08, 0.49 , 1.614045095043204
3, 131,  0.78, 0.78, 0.08, 0.51 , 0.9137248889633603
3, 132,  0.78, 0.78, 0.08, 0.5 , 0.822775861143923
3, 133,  0.78, 0.78, 0.1, 0.49 , 1.2672190302325477
3, 134,  0.78, 0.78, 0.1, 0.51 , 1.110245219260693
3, 135,  0.78, 0.78, 0.1, 0.5 , 1.3364476774631975
3, 136,  0.78, 0.78, 0.09, 0.49 , 1.440146110477305
3, 137,  0.78, 0.78, 0.09, 0.51 , 1.1636160509419078
3, 138,  0.78, 0.78, 0.09, 0.5 , 1.5591973970543622
3, 139,  0.78, 0.8, 0.08, 0.49 , 0.7171931951634389
3, 140,  0.78, 0.8, 0.08, 0.51 , 0.9628393654830424
3, 141,  0.78, 0.8, 0.08, 0.5 , 0.8077626733236949
3, 142,  0.78, 0.8, 0.1, 0.49 , 0.9954666209279279
3, 143,  0.78, 0.8, 0.1, 0.51 , 0.962213648892175
3, 144,  0.78, 0.8, 0.1, 0.5 , 0.7876162030208337
3, 145,  0.78, 0.8, 0.09, 0.49 , 0.9738572475655927
3, 146,  0.78, 0.8, 0.09, 0.51 , 0.8803220055497112
3, 147,  0.78, 0.8, 0.09, 0.5 , 1.1859254604855594
3, 148,  0.78, 0.79, 0.08, 0.49 , 1.1284887305774218
3, 149,  0.78, 0.79, 0.08, 0.51 , 0.9460191101442509
3, 150,  0.78, 0.79, 0.08, 0.5 , 1.5928930341574037
3, 151,  0.78, 0.79, 0.1, 0.49 , 0.8710618765467681
3, 152,  0.78, 0.79, 0.1, 0.51 , 0.8598341892822425
3, 153,  0.78, 0.79, 0.1, 0.5 , 1.0244616819621397
3, 154,  0.78, 0.79, 0.09, 0.49 , 0.8366570500893068
3, 155,  0.78, 0.79, 0.09, 0.51 , 0.848305001044157
3, 156,  0.78, 0.79, 0.09, 0.5 , 1.157258398583883
3, 157,  0.8, 0.78, 0.08, 0.49 , 1.121745996670283
3, 158,  0.8, 0.78, 0.08, 0.51 , 1.3589958357285252
3, 159,  0.8, 0.78, 0.08, 0.5 , 0.9294829201021468
3, 160,  0.8, 0.78, 0.1, 0.49 , 0.8980917632839981
3, 161,  0.8, 0.78, 0.1, 0.51 , 0.822145608660098
3, 162,  0.8, 0.78, 0.1, 0.5 , 0.8103307504513751
3, 163,  0.8, 0.78, 0.09, 0.49 , 0.8056128501898647
3, 164,  0.8, 0.78, 0.09, 0.51 , 0.49892216031740216
3, 165,  0.8, 0.78, 0.09, 0.5 , 1.3171528557138088
3, 166,  0.8, 0.8, 0.08, 0.49 , 0.942012974144466
3, 167,  0.8, 0.8, 0.08, 0.51 , 1.1102957090456573
3, 168,  0.8, 0.8, 0.08, 0.5 , 1.0781577471501098
3, 169,  0.8, 0.79, 0.08, 0.49 , 0.8622133592966063
3, 170,  0.8, 0.79, 0.08, 0.51 , 0.9757220637194215
3, 171,  0.8, 0.79, 0.08, 0.5 , 1.2328259232818104
3, 172,  0.79, 0.78, 0.08, 0.49 , 1.1368394932093566
3, 173,  0.79, 0.78, 0.08, 0.51 , 1.534176680091498
3, 174,  0.79, 0.78, 0.08, 0.5 , 0.9722988670751889
3, 175,  0.79, 0.78, 0.1, 0.49 , 0.9761940836648099
3, 176,  0.79, 0.78, 0.1, 0.51 , 0.8660178214343484
3, 177,  0.79, 0.78, 0.1, 0.5 , 0.7846338477955389
3, 178,  0.79, 0.78, 0.09, 0.49 , 1.3184463573196064
3, 179,  0.79, 0.78, 0.09, 0.51 , 1.0411536609906908
3, 180,  0.79, 0.78, 0.09, 0.5 , 1.5857155929303632
3, 181,  0.79, 0.8, 0.08, 0.49 , 1.0034530952411784
3, 182,  0.79, 0.8, 0.08, 0.51 , 0.9868415184066344
3, 183,  0.79, 0.8, 0.08, 0.5 , 1.1978793556636402
3, 184,  0.79, 0.79, 0.08, 0.49 , 1.5926024006999253
3, 185,  0.79, 0.79, 0.08, 0.51 , 0.847206036236497
3, 186,  0.79, 0.79, 0.08, 0.5 , 0.7962880468543255
4, 0,  0.77, 0.77, 0.07, 0.47 , 0.8910406315844681
4, 1,  0.77, 0.77, 0.07, 0.49 , 1.0292414528373859
4, 2,  0.77, 0.77, 0.07, 0.48 , 0.8701527282590749
4, 3,  0.77, 0.77, 0.09, 0.47 , 1.00143491579227
4, 4,  0.77, 0.77, 0.09, 0.49 , 0.8502069543397959
4, 5,  0.77, 0.77, 0.09, 0.48 , 1.5662685859882146
4, 6,  0.77, 0.77, 0.08, 0.47 , 1.0979019442635425
4, 7,  0.77, 0.77, 0.08, 0.49 , 0.7514628464922997
4, 8,  0.77, 0.77, 0.08, 0.48 , 0.9690557665274866
